Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable,F1_Score
?a  child  ?e  ?e  parent  ?b   ,?a  spouse  ?b,0.237367803,0.367272727,0.467592593,202,550,432,?b,0.3148869840894812
?e  mother  ?b  ?e  predecessor  ?a   ,?a  spouse  ?b,0.057579318,0.30625,0.449541284,49,160,109,?b,0.10208333261745225
?e  father  ?b  ?e  mother  ?a   ,?a  spouse  ?b,0.227967098,0.687943262,0.923809524,194,282,210,?b,0.3656927433122381
?b  child  ?a  ?b  successor  ?a   ,?a  father  ?b,0.08974359,0.404958678,0.924528302,49,121,53,?a,0.16360601044455284
?a  child  ?e  ?e  father  ?b   ,?a  spouse  ?b,0.115158637,0.35,0.453703704,98,280,216,?b,0.18369259621807676
?b  child  ?a  ?a  predecessor  ?b   ,?a  father  ?b,0.098901099,0.435483871,0.931034483,54,124,58,?a,0.17880794718595677
?e  mother  ?b  ?e  parent  ?a   ,?a  spouse  ?b,0.223266745,0.344827586,0.489690722,190,551,388,?b,0.3066989508299515
?e  father  ?a  ?e  mother  ?b   ,?a  spouse  ?b,0.231492362,0.69858156,0.980099502,197,282,201,?b,0.3745247148886496
?e  father  ?b  ?e  parent  ?a   ,?a  spouse  ?b,0.229142186,0.291479821,0.441176471,195,669,442,?b,0.3016241303177859
?a  parent  ?b  ?a  predecessor  ?b   ,?a  father  ?b,0.137362637,0.700934579,0.903614458,75,107,83,?a,0.23847376734491116
?e  father  ?a  ?e  parent  ?b   ,?a  spouse  ?b,0.235017626,0.298953662,0.457665904,200,669,437,?b,0.3105590059553571
?e  mother  ?a  ?e  parent  ?b   ,?a  spouse  ?b,0.230317274,0.355716878,0.485148515,196,551,404,?b,0.3123505978283697
?e  parent  ?a  ?e  parent  ?b   ,?a  spouse  ?b,0.467685076,0.284285714,0.423404255,398,1400,940,?b,0.4444444440967017
?a  parent  ?b  ?b  successor  ?a   ,?a  father  ?b,0.139194139,0.678571429,0.915662651,76,112,83,?a,0.241653417845284
?b  child  ?f  ?a  predecessor  ?f   ,?a  father  ?b,0.025641026,0.053231939,0.104477612,14,263,134,?a,0.04117647105574395
?b  child  ?f  ?f  successor  ?a   ,?a  father  ?b,0.021978022,0.051502146,0.108108108,12,233,111,?a,0.03652968038948312
?b  parent  ?a  ?a  successor  ?b   ,?a  child  ?b,0.043046358,0.580357143,0.792682927,65,112,82,?b,0.08165829214930494
?a  predecessor  ?f  ?b  successor  ?f   ,?a  father  ?b,0.027472527,0.054151625,0.103448276,15,277,145,?a,0.04341533950893125
?a  mother  ?f  ?b  spouse  ?f   ,?a  father  ?b,0.413919414,0.733766234,0.914979757,226,308,247,?a,0.5699873897194303
?b  predecessor  ?a  ?a  successor  ?b   ,?a  child  ?b,0.060264901,0.356862745,0.532163743,91,255,171,?b,0.10826888811839573
?f  predecessor  ?b  ?a  predecessor  ?f   ,?a  father  ?b,0.034798535,0.065743945,0.121019108,19,289,157,?a,0.05405405426915333
?b  father  ?a  ?a  successor  ?b   ,?a  child  ?b,0.032450331,0.544444444,0.777777778,49,90,63,?b,0.062301334797419415
?f  child  ?a  ?b  spouse  ?f   ,?a  father  ?b,0.228937729,0.09057971,0.403225806,125,1380,310,?a,0.29205607469856537
?a  mother  ?e  ?e  spouse  ?b   ,?a  father  ?b,0.399267399,0.689873418,0.872,218,316,250,?a,0.5477386932157142
?a  parent  ?f  ?b  spouse  ?f   ,?a  father  ?b,0.424908425,0.323570432,0.405594406,232,717,572,?a,0.4150268338875068
?f  predecessor  ?a  ?b  predecessor  ?f   ,?a  child  ?b,0.01589404,0.083044983,0.118811881,24,289,202,?b,0.028037383584486094
?a  child  ?f  ?b  predecessor  ?f   ,?a  child  ?b,0.017218543,0.098859316,0.125,26,263,208,?b,0.03026775312977296
?b  predecessor  ?f  ?f  spouse  ?a   ,?a  child  ?b,0.037748344,0.199300699,0.274038462,57,286,208,?b,0.06635622761283189
